country,continent,1960s,1970s,1980s,1990s,2000s,2010s
Argentina,Americas,66.219,69.197,71.384,73.396,75.116,76.372
Australia,Oceania,70.96878049,74.00390244,76.71365854,78.93170732,81.54390244,82.49756098
Austria,Europe,69.83317073,72.31219512,75.26585366,77.87560976,80.33170732,81.64146341
"Bahamas, The",Americas,65.73,67.372,69.854,71.858,72.067,73.554
Belgium,Europe,70.76487805,73.19365854,75.63268293,77.6195122,80.03414634,81.43902439
Belize,Americas,65.058,69.229,71.386,68.734,71.541,74.365
Benin,Africa,41.63,46.764,53.132,55.218,59.009,61.174
Botswana,Africa,53.346,58.692,60.016,51.214,58.447,68.812
Brazil,Americas,58.475,62.286,65.947,69.769,73.3,75.456
Burkina Faso,Africa,38.652,45.06,49.505,50.168,56.377,60.768
Burundi,Africa,43.685,46.608,48.08,48.339,56.488,60.898
Cameroon,Africa,46.008,51.123,53.536,50.878,54.627,58.511
Central African Republic,Africa,41.444,48.737,49.397,44.461,46.719,52.24
Chad,Africa,40.878,44.521,46.91,47.657,50.346,53.712
Chile,Americas,61.637,68.378,73.198,76.092,78.558,79.909
China,Asia,57.603,66.377,69.054,71.063,74.119,76.47
Colombia,Americas,61.675,66.451,69.591,72.619,75.193,76.925
"Congo, Rep.",Africa,50.313,53.927,54.917,51.925,59.321,63.954
Costa Rica,Americas,65.339,71.501,75.456,77.293,78.626,79.914
Cote d'Ivoire,Africa,43.276,50.579,53.35,49.891,52.313,57.017
Denmark,Europe,73.22097561,74.21926829,74.7997561,76.34146341,78.59756098,81.00487805
Dominican Republic,Americas,57.498,62.477,66.201,69.175,71.806,73.689
Ecuador,Americas,57.69,62.942,68.431,72.425,74.895,76.584
"Egypt, Arab Rep.",Africa,51.865,57.659,64.143,68.357,70.159,71.656
El Salvador,Americas,54.628,56.248,63.05,68.581,70.978,72.872
Fiji,Oceania,62.481,63.776,65.391,65.512,66.559,67.252
Finland,Europe,69.50341463,73.15536585,74.79219512,77.29121951,79.7195122,81.42926829
France,Europe,71.45853659,73.85121951,76.34878049,78.75609756,81.41463415,82.52439024
Gabon,Africa,46.255,54.452,60.865,58.646,60.637,65.839
"Gambia, The",Africa,37.023,45.533,51.892,55.547,59.334,61.44
Ghana,Africa,49.057,51.984,56.271,56.972,60.645,63.463
Greece,Europe,70.58929268,73.32936585,76.68780488,77.98780488,80.18780488,81.38780488
Guatemala,Americas,51.889,56.84,61.735,67.351,71.108,73.81
Guyana,Americas,61.697,62.427,63.159,64.964,67.792,69.624
Honduras,Americas,51.921,58.851,66.229,70.378,73.061,74.898
Iceland,Europe,73.77634146,76.77317073,78.14097561,79.35121951,81.75121951,82.20487805
India,Asia,47.081,53.319,57.4,62.093,66.244,69.165
Indonesia,Asia,51.963,57.488,61.915,65.513,68.853,71.282
Israel,Asia,70.9704878,73.50731707,76.30731707,78.65853659,81.40487805,82.60243902
Italy,Europe,70.81195122,74.00268293,76.8195122,79.42439024,81.63658537,83.24390244
Jamaica,Americas,67.636,70.553,72.903,74.152,74.071,74.267
Japan,Asia,71.83878049,76.33756098,78.81804878,80.57073171,82.93146341,84.0997561
Kenya,Africa,51.998,57.393,57.967,51.059,59.932,65.909
"Korea, Rep.",Asia,60.67502439,65.54634146,71.04878049,75.4097561,79.96829268,82.62682927
Lesotho,Africa,50.18,56.058,60.003,49.328,44.146,52.947
Luxembourg,Europe,69.90485366,71.79446341,74.75241463,77.77073171,80.63658537,82.68536585
Madagascar,Africa,44.283,48.683,50.53,57.782,62.944,66.311
Malawi,Africa,39.289,43.912,46.038,45.136,53.888,63.279
Malaysia,Asia,64.161,67.766,70.612,72.418,74.305,75.828
Mali,Africa,31.72,38.909,45.323,47.515,54.756,58.452
Mauritania,Africa,49.99,54.357,59.405,60.643,62.266,64.464
Mexico,Americas,60.932,66.055,70.469,73.988,75.128,74.947
Morocco,Africa,52.195,56.823,64.157,68.245,74.003,76.218
Nepal,Asia,40.291,46.124,53.551,61.6,67.178,70.169
Netherlands,Europe,73.5395122,75.60609756,76.73414634,77.83658537,80.54878049,81.56097561
Nicaragua,Americas,52.868,57.955,63.549,69.1,72.167,74.068
Niger,Africa,35.76,38.48,43.014,49.279,56.557,61.599
Nigeria,Africa,40.569,44.963,45.939,46.103,50.422,53.95
Norway,Europe,73.66341463,75.41390244,76.5004878,78.28292683,80.79512195,82.5097561
Oman,Asia,49.574,58.813,66.593,71.664,75.44,77.393
Pakistan,Asia,52.07,56.512,59.799,62.564,64.969,66.947
Panama,Americas,65.063,69.818,72.747,74.881,76.6,78.149
Papua New Guinea,Oceania,45.173,52.145,56.168,59.049,61.739,64.01
Peru,Americas,53.42,59.691,65.56,70.7,74.12,76.286
Philippines,Asia,63.097,63.503,65.933,68.744,69.667,70.952
Portugal,Europe,66.81270732,71.16829268,74.26585366,75.96341463,78.72682927,81.12439024
Puerto Rico,Americas,71.20260976,73.60643902,74.29895122,75.3754878,78.191,79.63453659
Rwanda,Africa,44.609,47.661,38.439,46.639,62.129,68.341
Senegal,Africa,38.816,47.927,56.818,57.523,63.607,67.38
Sierra Leone,Africa,35.59,39.936,39.009,38.634,48.468,53.895
Singapore,Asia,67.95107317,71.68273171,74.94634146,77.55121951,81.24146341,82.89512195
South Africa,Africa,52.106,57.59,63.035,57.144,56.46,63.538
Spain,Europe,71.05756098,74.81878049,76.81365854,78.71707317,81.47560976,83.32926829
Sri Lanka,Asia,63.634,67.751,69.352,70.503,75.286,76.648
St. Vincent and the Grenadines,Americas,63.36,67.143,70.451,70.762,71.716,72.3
Sudan,Africa,51.86,54.161,55.334,58.096,62.33,64.881
Suriname,Americas,62.609,65.274,67.341,67.781,70.209,71.463
Sweden,Europe,74.08487805,75.52414634,77.72682927,79.44146341,81.35121951,82.30731707
Thailand,Asia,58.904,63.935,70.071,70.463,73.766,76.683
Togo,Africa,45.955,51.799,55.784,53.547,56.818,60.489
Trinidad and Tobago,Americas,64.565,66.364,67.957,69.199,71.71,73.245
Tunisia,Africa,50.001,61.01,68.176,72.904,74.88,76.31
Turkey,Europe,51.678,58.023,63.763,69.417,74.074,77.161
United States,Americas,70.50731707,73.80487805,75.01707317,76.58292683,78.3902439,78.53902439
Uruguay,Americas,68.588,69.983,72.386,74.523,76.603,77.632
Zambia,Africa,49.7,52.722,50.282,43.594,54.13,63.043
Zimbabwe,Africa,56.656,59.274,59.235,45.461,48.449,60.812
